,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
0,ushuaia,20,AR,1604802880,44,-54.8,-68.3,57.2,17.22
1,saskylakh,6,RU,1604803030,89,71.92,114.08,-9.36,8.43
2,vardo,60,NO,1604802972,78,70.37,31.11,39.4,36.82
3,ormara,0,PK,1604803377,42,25.21,64.64,77.79,3.78
4,bluff,35,NZ,1604802960,55,-46.6,168.33,55.0,10.0
5,port alfred,0,ZA,1604802606,77,-33.59,26.89,64.18,8.7
6,severo-kurilsk,20,RU,1604803304,77,50.68,156.12,36.77,5.99
7,punta arenas,20,CL,1604802915,71,-53.15,-70.92,51.8,24.16
8,acajutla,100,SV,1604803378,100,13.59,-89.83,70.0,2.04
9,jamestown,1,US,1604802871,50,42.1,-79.24,55.4,4.7
10,san mateo del mar,100,MX,1604803378,71,16.2,-95.0,79.81,27.67
11,ribeira brava,20,PT,1604803378,77,32.65,-17.07,62.6,5.82
12,hermanus,85,ZA,1604802909,79,-34.42,19.23,59.0,4.0
13,albany,11,US,1604802851,61,42.6,-73.97,54.0,3.2
14,thompson,90,CA,1604803089,85,55.74,-97.86,15.8,6.93
15,dunedin,2,NZ,1604803378,48,-45.87,170.5,55.0,17.0
16,busselton,97,AU,1604802930,60,-33.65,115.33,73.0,5.99
17,pombas,75,CV,1604803378,78,17.15,-25.02,77.0,17.22
18,carauari,95,BR,1604803378,98,-4.88,-66.9,73.69,1.68
19,vila velha,75,BR,1604803149,94,-20.33,-40.29,73.4,2.24
20,mataura,0,NZ,1604802688,55,-46.19,168.86,55.0,10.0
21,urengoy,100,RU,1604803109,99,65.97,78.37,30.42,4.18
22,atuona,23,PF,1604802925,79,-9.8,-139.03,77.56,13.65
23,norman wells,75,CA,1604803033,92,65.28,-126.83,28.4,3.36
24,bredasdorp,44,ZA,1604802997,82,-34.53,20.04,57.2,11.41
25,srednekolymsk,84,RU,1604803379,92,67.45,153.68,-2.69,7.63
26,northam,100,GB,1604803182,98,51.03,-4.22,55.99,9.26
27,hokitika,100,NZ,1604803379,50,-42.72,170.97,58.28,10.25
28,sidi bin nur,0,TN,1604803379,93,35.53,10.92,60.8,2.24
29,pevek,99,RU,1604802722,97,69.7,170.31,13.64,2.55
30,guerrero negro,0,MX,1604803379,66,27.98,-114.06,63.46,16.17
31,maceio,20,BR,1604803380,88,-9.67,-35.74,77.0,6.93
32,port elizabeth,0,ZA,1604802990,93,-33.92,25.57,59.0,4.7
33,los llanos de aridane,20,ES,1604803380,63,28.66,-17.92,66.2,6.93
34,broome,1,US,1604803380,51,42.25,-75.83,59.0,6.93
35,irtyshskiy,100,RU,1604803380,98,58.33,68.13,34.84,4.29
36,barrow,90,US,1604802687,86,71.29,-156.79,30.2,20.8
37,kemijarvi,0,FI,1604803380,87,66.71,27.43,32.31,13.73
38,agirish,1,RU,1604803380,97,61.92,63.02,27.27,5.32
39,puerto escondido,74,MX,1604803380,77,15.85,-97.07,79.68,2.86
40,waipawa,100,NZ,1604803380,76,-41.41,175.52,51.8,35.57
41,marawi,26,PH,1604802935,75,8.0,124.29,82.99,5.99
42,batagay,62,RU,1604803381,84,67.63,134.63,-22.72,1.41
43,victoria,75,HK,1604802973,56,22.29,114.16,79.0,1.99
44,luderitz,0,NA,1604802927,87,-26.65,15.16,60.51,4.54
45,rikitea,100,PF,1604802692,74,-23.12,-134.97,71.74,17.85
46,rocha,1,UY,1604803249,96,-34.48,-54.33,55.26,2.98
47,frankfort,0,ZA,1604803148,43,-27.27,28.48,63.54,2.57
48,road town,91,VG,1604803218,89,18.42,-64.62,80.01,5.01
49,leshukonskoye,100,RU,1604803381,95,64.9,45.76,33.51,16.53
50,riyadh,0,SA,1604803249,39,24.69,46.72,64.4,2.24
51,nyurba,0,RU,1604803264,88,63.28,118.33,-1.39,4.41
52,nikolskoye,90,RU,1604802970,81,59.7,30.79,48.2,11.18
53,vaini,20,TO,1604802971,74,-21.2,-175.2,80.6,9.17
54,new norfolk,0,AU,1604802906,40,-42.78,147.06,68.0,1.99
55,kushmurun,100,KZ,1604803382,83,52.45,64.63,40.1,18.43
56,ilulissat,4,GL,1604803137,43,69.22,-51.1,15.8,11.41
57,hobart,20,AU,1604802788,44,-42.88,147.33,68.0,9.17
58,chuy,0,UY,1604802938,94,-33.7,-53.46,59.0,5.53
59,lebu,0,CL,1604803029,85,-37.62,-73.65,52.57,20.29
60,airai,69,TL,1604802967,35,-8.93,125.41,82.0,6.31
61,flinders,90,AU,1604802730,55,-34.58,150.86,64.99,12.75
62,puerto ayora,18,EC,1604803058,81,-0.74,-90.35,68.0,4.0
63,castro,0,BR,1604802961,65,-24.79,-50.01,58.64,4.45
64,bethel,1,US,1604803166,81,41.37,-73.41,57.0,3.53
65,kinshasa,100,CD,1604803383,88,-4.32,15.32,77.0,2.24
66,birao,67,CF,1604803383,40,10.28,22.79,72.34,4.25
67,dikson,100,RU,1604802785,91,73.51,80.55,-1.79,13.4
68,san patricio,20,US,1604803383,94,28.02,-97.52,72.0,12.75
69,souillac,75,MU,1604803078,88,-20.52,57.52,71.6,9.17
70,praya,0,CV,1604803383,83,14.92,-23.51,77.0,13.87
71,iqaluit,75,CA,1604802973,77,63.75,-68.51,5.0,4.7
72,saint-pierre,0,RE,1604803384,64,-21.34,55.48,71.6,4.7
73,tuktoyaktuk,75,CA,1604802969,85,69.45,-133.04,24.8,18.34
74,ponta do sol,20,PT,1604803311,77,32.67,-17.1,62.6,5.82
75,yellowknife,75,CA,1604802790,84,62.46,-114.35,6.8,3.91
76,acarau,28,BR,1604803384,79,-2.89,-40.12,78.4,13.98
77,hilo,90,US,1604803260,88,19.73,-155.09,75.2,6.93
78,hithadhoo,19,MV,1604803158,70,-0.6,73.08,84.18,7.27
79,loreto,13,MX,1604803384,35,22.27,-101.97,57.9,4.59
80,katobu,1,ID,1604803384,40,-4.94,122.53,93.79,0.18
81,coihaique,0,CL,1604803236,66,-45.58,-72.07,50.0,3.36
82,olafsvik,49,IS,1604803244,73,64.89,-23.71,39.65,21.65
83,east london,2,ZA,1604803183,81,-33.02,27.91,68.41,11.39
84,la ronge,100,CA,1604803347,79,55.1,-105.28,19.4,10.29
85,sangre grande,20,TT,1604803385,88,10.58,-61.12,79.0,7.02
86,port keats,0,AU,1604803385,32,-14.25,129.55,98.44,5.06
87,yenagoa,94,NG,1604803385,94,4.92,6.26,75.54,3.44
88,butaritari,66,KI,1604803167,69,3.07,172.79,81.28,8.5
89,aykhal,0,RU,1604803385,84,66.0,111.5,-0.4,2.24
90,codrington,0,AU,1604803186,67,-38.27,141.97,63.05,10.65
91,utete,86,TZ,1604803385,96,-7.99,38.76,72.86,1.21
92,north bend,90,US,1604803338,87,43.41,-124.22,50.0,9.17
93,kapaa,90,US,1604802840,83,22.08,-159.32,80.6,17.22
94,kurchum,68,KZ,1604803268,64,48.57,83.65,41.31,4.14
95,merke,82,KZ,1604803386,26,42.87,73.18,62.38,10.22
96,saint george,91,US,1604803103,81,37.1,-113.58,44.01,14.99
97,kijang,0,KR,1604803386,27,35.24,129.21,64.4,9.17
98,bontang,100,ID,1604803386,78,0.13,117.5,80.87,1.36
99,klaksvik,82,FO,1604802791,86,62.23,-6.59,41.0,10.29
100,vao,17,NC,1604803387,72,-22.67,167.48,73.6,14.47
101,kodiak,90,US,1604803035,87,57.79,-152.41,46.4,14.99
102,murray bridge,0,AU,1604803227,36,-35.12,139.27,75.0,7.43
103,la seyne-sur-mer,100,FR,1604803387,86,43.1,5.88,61.0,11.99
104,bengkulu,99,ID,1604803387,63,-3.8,102.27,84.7,3.51
105,mugur-aksy,1,RU,1604803387,89,50.35,90.5,27.16,5.75
106,kokopo,45,PG,1604803387,67,-4.35,152.26,85.08,6.13
107,qaanaaq,1,GL,1604803080,68,77.48,-69.36,-11.45,10.36
108,salalah,0,OM,1604803133,56,17.02,54.09,71.6,5.82
109,tasiilaq,95,GL,1604803161,74,65.61,-37.64,30.2,9.01
110,salinopolis,46,BR,1604803388,81,-0.61,-47.36,80.96,13.56
111,caruray,90,PH,1604803388,78,10.31,119.01,82.4,6.93
112,saint-philippe,20,RE,1604803228,64,-21.36,55.77,71.6,6.93
113,novobirilyussy,51,RU,1604803388,84,56.95,90.67,37.56,11.18
114,aranos,0,NA,1604803388,36,-24.13,19.12,66.51,8.21
115,coruripe,6,BR,1604803388,83,-10.13,-36.18,76.3,10.69
116,camana,24,PE,1604803388,78,-16.62,-72.71,63.43,6.06
